iter	Passed	Remaining
317	2554	5479
318	2561	5469
319	2570	5462
320	2577	5451
321	2583	5440
322	2591	5432
323	2598	5420
324	2606	5414
325	2613	5402
326	2621	5394
327	2627	5384
328	2637	5378
329	2644	5368
330	2653	5363
331	2660	5353
332	2669	5346
333	2676	5336
334	2685	5330
335	2694	5324
336	2700	5313
337	2706	5300
338	2711	5287
339	2718	5277
340	2723	5264
341	2732	5256
342	2737	5243
343	2742	5230
344	2749	5220
345	2755	5207
346	2760	5194
347	2768	5186
348	2773	5173
349	2781	5165
350	2788	5156
351	2796	5148
352	2803	5137
353	2811	5130
354	2818	5120
355	2824	5110
356	2834	5106
357	2843	5098
358	2850	5089
359	2859	5082
360	2866	5074
361	2874	5065
362	2882	5058
363	2889	5048
364	2897	5041
365	2905	5032
366	2914	5026
367	2921	5016
368	2930	5010
369	2936	4999
370	2944	4992
371	2951	4982
372	2959	4975
373	2964	4962
374	2970	4950
375	2977	4940
376	2982	4928
377	2988	4918
378	2994	4906
379	2999	4894
380	3006	4885
381	3012	4872
382	3017	4860
383	3024	4851
384	3029	4839
385	3034	4827
386	3041	4817
387	3047	4807
388	3054	4797
389	3059	4786
390	3065	4774
391	3072	4766
392	3079	4755
393	3085	4745
394	3090	4733
395	3096	4722
396	3103	4714
397	3110	4704
398	3119	4698
399	3125	4688
400	3133	4680
401	3140	4671
402	3146	4661
403	3156	4656
404	3162	4646
405	3171	4639
406	3178	4630
407	3186	4623
408	3192	4613
409	3200	4606
410	3207	4596
411	3215	4589
412	3222	4580
